,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"199,901,530","+333,488","4,254,156","+5,789","180,307,527","+275,224","15,339,847","91,799","25,646",545.8,
1,1,USA,"35,902,925","+6,945","629,927 ",+65,"29,722,067","+4,530","5,550,931","11,890","107,781","1,891"
2,2,India,"31,732,703","+7,304","425,388 ",+160,"30,896,354","+7,652","410,961","8,944","22,752",305
3,3,Brazil,"19,953,501",,"557,359 ",,"18,687,203",,"708,939","8,318","93,154","2,602"
4,4,Russia,"6,334,195","+22,010","160,925 ",+788,"5,659,746","+18,963","513,524","2,300","43,384","1,102"
5,5,France,"6,151,803",,"111,936 ",,"5,708,913",,"330,954","1,232","94,021","1,711"
6,6,UK,"5,923,820","+21,691","129,881 ",+138,"4,552,631","+16,479","1,241,308",895,"86,767","1,902"
7,7,Turkey,"5,770,833",,"51,519 ",,"5,465,846",,"253,468",543,"67,635",604
8,8,Argentina,"4,947,030",,"106,045 ",,"4,594,873",,"246,112","3,819","108,379","2,323"
9,9,Colombia,"4,801,050",,"121,216 ",,"4,598,176",,"81,658","8,155","93,277","2,355"
10,10,Spain,"4,523,310","+20,327","81,773 ",+130,"3,752,225","+12,563","689,312","1,867","96,705","1,748"
11,11,Italy,"4,363,374","+4,845","128,115 ",+27,"4,141,043","+3,615","94,216",258,"72,283","2,122"
12,12,Iran,"3,979,727","+39,019","91,785 ",+378,"3,424,650","+20,117","463,292","5,793","46,733","1,078"
13,13,Germany,"3,780,235",+457,"92,184 ",+1,"3,656,300",,"31,751",377,"44,963","1,096"
14,14,Indonesia,"3,496,700","+33,900","98,889 ","+1,598","2,873,669","+31,324","524,142",,"12,639",357
15,15,Poland,"2,883,284",+164,"75,265 ",+4,"2,653,934",+34,"154,085",40,"76,274","1,991"
16,16,Mexico,"2,861,498","+6,506","241,279 ",+245,"2,241,868","+25,984","378,351","4,798","21,944","1,850"
17,17,South Africa,"2,461,758",,"72,437 ",,"2,238,388",,"150,933",546,"40,948","1,205"
18,18,Ukraine,"2,254,361",+827,"52,981 ",+26,"2,187,703",+533,"13,677",177,"51,886","1,219"
19,19,Peru,"2,114,445",,"196,518 ",,N/A,N/A,N/A,"1,783","63,175","5,872"
20,20,Netherlands,"1,872,093","+2,184","17,832 ",+3,"1,671,277","+1,215","182,984",193,"108,994","1,038"
21,21,Czechia,"1,673,926",+152,"30,378 ",+1,"1,641,074",+11,"2,474",11,"155,996","2,831"
22,22,Iraq,"1,660,371","+11,644","18,865 ",+63,"1,488,186","+7,359","153,320",901,"40,302",458
23,23,Chile,"1,618,457",+605,"35,640 ",+24,"1,574,176","+1,169","8,641","1,343","83,883","1,847"
24,24,Philippines,"1,612,541","+6,879","28,141 ",+48,"1,521,263","+6,337","63,137","2,026","14,506",253
25,25,Canada,"1,432,144",+539,"26,602 ",+2,"1,398,606",+438,"6,936",231,"37,588",698
26,26,Bangladesh,"1,296,093","+15,776","21,397 ",+235,"1,125,045","+16,297","149,651","1,381","7,786",129
27,27,Malaysia,"1,163,291","+17,105","9,598 ",+195,"950,029","+12,297","203,664","1,066","35,450",292
28,28,Belgium,"1,129,018","+4,303","25,247 ",+6,"1,059,896",,"43,875",97,"96,958","2,168"
